Source: IEA Electricity Information 2022 https://www.iea.org/data-and-statistics/data-product/electricity-information,,,,,,,,,,,,,,,
Documentation: https://iea.blob.core.windows.net/assets/11289187-9898-42b2-a90f-25e1ab6ee7b5/Ele_documentation.pdf,,,,,,,,,,,,,,,
This data is subject to the IEA's terms and conditions: https://www.iea.org/terms,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Coal,Oil,Natural gas,Biofuels,Waste,Nuclear,Hydro,Geothermal,Solar PV,Wind,Tide,Other sources,Solar thermal,Units,
1990,1244032,312664,281753,12144,8532,894678,514106,3606,16,778,503,348,,GWh,
1995,1119088,266273,341868,18273,13537,976239,581527,3854,53,4078,507,823,,GWh,
2000,1121923,208168,586588,27337,21067,1048780,637768,6184,125,22296,507,1502,,GWh,
2005,1166373,157769,817230,59098,27941,1109796,604337,7149,1487,71614,481,10559,,GWh,
2010,1067947,94152,946060,108095,38157,1032101,674521,10735,22669,154020,478,4643,761,GWh,4154339
2015,1037831,70106,681091,160914,46392,967737,664631,15042,105746,319007,489,7336,5593,GWh,4081915
2020,603377,52581,849708,185625,52696,834356,687476,22706,175775,513157,520,6601,5630,GWh,3990208
